date,factor_id,signal,health_status,reasons,confidence,primary_score,rank_ic,half_life,fwd_ic,fwd_ret,horizon
2025-08-11,F003,rebuild_candidate,rebuild_candidate,SIGN_REVERSAL,0.7,0.4252,0.00914,1.819,-0.02082,-0.01041,20
2025-09-08,F001,keep,healthy,OK,0.72,0.7504,0.03476,5.93,0.03606,0.01803,20
2025-09-08,F002,keep,healthy,OK,0.72,0.9486,0.04568,15.625,0.03193,0.01596,20
2025-09-08,F003,retire_candidate,retire_candidate,IC_FLAT_NOISE,0.75,0.0476,0.00352,1.051,-0.0103,-0.00515,20
2025-10-06,F001,keep,healthy,OK,0.72,0.5848,0.03481,9.553,0.03635,0.01817,20
2025-10-06,F002,keep,healthy,OK,0.72,0.9016,0.03511,15.178,0.03428,0.01714,20
2025-10-06,F003,retire_candidate,retire_candidate,HALF_LIFE_LT_2|HIGH_TO_FAST_DECAY,0.8,0.5348,0.02828,1.007,-0.00348,-0.00174,20
2025-11-03,F001,keep,healthy,OK,0.72,0.4216,0.0331,5.068,0.02178,0.01089,20
2025-11-03,F002,keep,healthy,OK,0.72,0.8666,0.0394,15.813,0.01501,0.0075,20
2025-11-03,F003,watch,watch,HALF_LIFE_2_5|CAPITAL_DIVERGENT,0.6,0.0401,0.00554,2.223,-0.01419,-0.0071,20
2025-12-01,F001,keep,healthy,OK,0.72,0.5417,0.02138,9.279,0.01254,0.00627,20
2025-12-01,F002,keep,healthy,OK,0.72,0.6936,0.0332,9.982,0.03239,0.0162,20
2025-12-01,F003,retire_candidate,retire_candidate,IC_FLAT_NOISE,0.75,0.0292,0.00234,0.888,-0.02139,-0.01069,20
2025-12-29,F001,retire_candidate,retire_candidate,IC_FLAT_NOISE,0.75,-0.1685,-0.00334,8.607,-0.00125,-0.00063,20
2025-12-29,F002,keep,healthy,OK,0.72,1.117,0.04589,8.402,0.04984,0.02492,20
2025-12-29,F003,rebuild_candidate,rebuild_candidate,SIGN_REVERSAL,0.7,-0.0072,0.00592,1.064,-0.01168,-0.00584,20
